,full_formula,band_gap,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
0,Cl4Pd2,1.6249,58,3.408012,4.187088,11.47548,90.0,90.0,90.0
1,Ce1O2,2.4252000000000002,225,3.8825700000000003,3.8825700000000003,3.8825700000000003,60.0,60.0,60.0
2,Ag2I2,1.9774,129,4.722015,4.722015,6.062912,90.0,90.0,90.0
3,Ba20Sb16,0.2722,62,9.152504,9.195238,18.01245,90.0,90.0,90.0
4,O4Ti2,2.2664,136,4.672612,4.672612,3.023232,90.0,90.0,90.0
5,Bi2Se3,0.3929,166,10.1974,10.1974,10.1974,23.74519,23.74519,23.74519
6,O8Zr4,3.4757,14,5.28601,5.217837,5.399561,80.36667,90.0,90.0
7,F4Mn2,2.5855,136,4.977239,4.977239,3.349104,90.0,90.0,90.0
8,O8Ti4,2.2655,141,6.041389,6.041389,6.041389,120.2002,120.2002,89.65351
9,Cl8U2,2.2683,141,7.120093,7.120093,7.120093,107.4191,107.4191,113.6584
10,O8Zr4,3.467,14,5.281256,5.220942,5.400221,80.31969,90.0,90.0
11,O6Si3,5.7173,154,4.970676,4.971114,5.474485,89.99692,90.00614,120.0094
12,O4Pt2,0.8658,58,3.168001,4.604239,4.54263,90.0,90.0,90.0
13,Cs1I1,3.6739,221,4.664805,4.664805,4.669563,90.0,90.0,90.0
14,F4Mn2,2.5638,136,4.966852,4.966852,3.352514,90.0,90.0,90.0
15,N8Si6,4.2488,176,7.659336,7.659283,2.924554,90.0,90.0,120.0
16,O6Te2,1.1473,167,5.283433,5.283433,5.283433,57.17687,57.17687,57.17687
17,Ba4Cl8,5.0952,62,4.815556,7.986084,9.54965,90.0,90.0,90.0
18,K2Sb4,0.20170000000000002,12,7.504253,7.504253,7.18965,86.56035,86.56035,33.36217
19,Er6O9,4.1158,12,7.179572,7.179572,8.570415,79.94017,79.94017,27.92452
20,H16Si4,5.8297,14,4.6747700000000005,7.071101,7.040039,75.99929,90.0,90.0
21,Sb2Te3,0.0323,166,10.56725,10.56725,10.56725,23.74464,23.74464,23.74464
22,Ca1S1,2.3810000000000002,225,4.041836,4.041836,4.041836,60.0,60.0,60.0
23,Cl12P4,4.045,62,6.523118,8.985396,10.08153,90.0,90.0,90.0
