,full_formula,DebyeTemp,spacegroup.number,structure.lattice.a,structure.lattice.b,structure.lattice.c,structure.lattice.alpha,structure.lattice.beta,structure.lattice.gamma
0,Ag2I2,86.4489,129,4.722015,4.722015,6.062912,90.0,90.0,90.0
1,As4Co2,447.824,58,3.036728,5.137694,5.915998,90.0,90.0,90.0
2,Pt10Se8,236.215,14,4.662265,6.63579,11.23366,78.56701,90.0,90.0
3,Cs3In9,152.596,119,9.948031,9.948031,9.948031,137.6269,137.6269,61.47493
4,Ag1Zr2,251.4,139,6.552628,6.552628,6.552628,151.314,151.314,41.01598
5,Nb2P2,455.098,141,5.794445,5.794445,5.794445,144.6414,144.6414,50.8693
6,Ca1S1,444.799,225,4.041836,4.041836,4.041836,60.0,60.0,60.0
7,Ca2Ga4,359.82,194,4.483667,4.483667,7.341551,90.0,90.0,120.0019
8,S6Zn6,354.741,186,3.797927,3.797905,18.62327,90.0,90.0,120.0002
9,Ho12Ru4,188.858,62,6.269349,7.248523,9.127681,90.0,90.0,90.0
10,Si2Th1,232.599,191,4.222589,4.222366,4.198606,90.0,90.0,120.0017
11,Pb3Yb1,137.123,221,4.939364,4.939364,4.939364,90.0,90.0,90.0
12,F9Y3,454.088,221,5.391398,5.391398,5.391398,90.0,90.0,90.0
13,Li2Se1,384.267,225,4.258576,4.258576,4.258576,60.0,60.0,60.0
14,As8Ga8,319.165,205,7.028121,7.028121,7.028121,90.0,90.0,90.0
15,Ir8Zr16,200.546,227,8.836127,8.836127,8.836127,60.0,60.0,60.0
16,Ce1Tl3,152.116,221,4.7893229999999996,4.7893229999999996,4.7893229999999996,90.0,90.0,90.0
17,C1Sn1,453.545,225,3.463288,3.463288,3.463288,60.0,60.0,60.0
18,Er1Hg2,170.298,191,4.9333659999999995,4.9333659999999995,3.396684,90.0,90.0,119.9964
19,Cu36Ga16,354.124,215,8.753845,8.753845,8.753845,90.0,90.0,90.0
20,Ga3Ni5,370.964,65,4.996699,4.996699,3.734987,90.0,90.0,97.15151
21,As1Rh2,355.671,225,4.036921,4.036921,4.036921,60.0,60.0,60.0
22,La3Sn7,198.848,65,13.58373,13.58373,4.76986,90.0,90.0,160.1663
23,Sc4Te4,256.491,194,4.174737,4.174744,13.98107,90.0,90.0,119.9999
24,Pd1Zr2,290.247,139,5.954965,5.954965,5.954965,147.5399,147.5399,46.56502
25,Mo2P4,615.403,36,5.84898,5.84898,5.021331,90.0,90.0,148.4735
26,K2O1,268.862,225,4.586543,4.586543,4.586543,60.0,60.0,60.0
27,Rh1Y1,273.373,221,3.421544,3.421544,3.421544,90.0,90.0,90.0
28,C3N4,1819.11,215,3.455759,3.455759,3.455759,90.0,90.0,90.0
29,Au2Ta6,232.989,223,5.274028,5.274028,5.274028,90.0,90.0,90.0
30,Ge6Rh10,326.019,55,3.9686779999999997,5.499502,10.54647,90.0,90.0,90.0
31,Rh4Sb12,287.017,204,8.103481,8.103481,8.103481,109.4712,109.4712,109.4712
32,Nb2Pt2,310.472,51,2.808726,4.667475,5.046316,90.0,90.0,90.0
33,Mn2Te2,205.522,194,4.21675,4.21675,6.837193,90.0,90.0,120.0022
34,Dy2S4,327.586,129,3.861027,3.861027,7.955972,90.0,90.0,90.0
35,Ir4Zr12,182.986,121,8.142709,8.142709,8.142709,97.06583,97.06583,138.9364
36,Au2Nb1,247.063,191,4.698419,4.698419,2.757579,90.0,90.0,119.9964
37,B8Fe4,1052.89,62,3.71354,4.785476,4.786259,90.0,90.0,90.0
38,La1S1,292.585,221,3.614775,3.614775,3.614775,90.0,90.0,90.0
39,Ga2P2,422.302,186,3.869725,3.869725,6.375905,90.0,90.0,119.9951
40,O10Sb4,491.19,15,6.88194,6.88194,5.517019,77.36268,77.36268,41.60861
41,Al1Pt3,264.783,221,3.894145,3.894145,3.894145,90.0,90.0,90.0
42,Li3Sb1,349.129,225,4.637914,4.637914,4.637914,60.0,60.0,60.0
43,Sb1Tl1,137.81,216,4.788011,4.788011,4.788011,60.0,60.0,60.0
44,Pb4Sr8,148.317,62,5.478807,8.483891,10.25187,90.0,90.0,90.0
45,Al40V4,474.331,227,10.23164,10.23164,10.23164,60.0,60.0,60.0
46,La4Sb2,213.545,139,9.743019,9.743019,9.743019,152.0696,152.0696,39.91172
47,P1Sn1,305.56,225,3.9990319999999997,3.9990319999999997,3.9990319999999997,60.0,60.0,60.0
48,C1Ce1,399.12,225,3.670061,3.670061,3.670061,60.0,60.0,60.0
49,B1C7,2109.0,115,2.519394,2.519394,7.476886,90.0,90.0,90.0
50,B4Nb6,650.308,127,6.246654,6.246654,3.325724,90.0,90.0,90.0
51,O3Re1,567.582,221,3.801075,3.801075,3.801075,90.0,90.0,90.0
52,Hf2Si4,441.61,63,7.525043,7.525043,3.659609,90.0,90.0,151.6523
53,Hf4P4,362.938,194,3.6657539999999997,3.6657539999999997,12.41747,90.0,90.0,119.9998
54,O8Pt6,304.461,223,5.646621,5.646621,5.646621,90.0,90.0,90.0
55,O16Sb8,422.468,33,4.904875,5.552904,11.93578,90.0,90.0,90.00002
56,S12Y8,365.344,62,3.881029,10.506920000000001,10.67859,90.0,90.0,90.0
57,Hf4Pt12,298.328,194,5.655938,5.655914,9.267756,90.0,90.0,120.0001
58,O8Re4,485.542,14,4.892933,5.567317,5.6330100000000005,60.45989,90.0,90.0
59,C1Zr1,309.562,216,3.613316,3.613316,3.613316,60.0,60.0,60.0
60,Ir1N1,201.465,216,3.267109,3.267109,3.267109,60.0,60.0,60.0
61,Cd6Ho2,196.496,63,6.495506,6.495506,4.861169,90.0,90.0,113.0092
62,C6Si6,1146.3,186,3.094554,3.094554,15.18693,90.0,90.0,119.9998
63,Co4Sb12,311.924,204,7.870081,7.870081,7.870081,109.4712,109.4712,109.4712
64,La1Te1,229.725,221,3.964466,3.964466,3.964466,90.0,90.0,90.0
65,Ge4Rh8,340.293,62,4.056265,5.511349,7.618316,90.0,90.0,90.0
66,Te2V2,262.681,194,4.162442,4.162595,6.55107,90.0,90.0,119.9988
67,In3Zr1,293.039,139,5.789264,5.789264,5.789264,136.6709,136.6709,62.94479
68,Ru8Sc4,277.474,194,5.192766,5.192766,8.645293,90.0,90.0,119.9967
69,Al6Hf2,450.884,139,9.05087,9.05087,9.05087,154.4687,154.4687,36.41873
70,Mg4Se8,294.163,205,6.515618,6.515618,6.515618,90.0,90.0,90.0
71,As1U1,104.193,221,3.634168,3.634168,3.634168,90.0,90.0,90.0
72,Al1N1,1166.1,225,2.876206,2.876206,2.876206,60.0,60.0,60.0
73,La1Pt5,249.12,191,5.432729,5.432646,4.401101,90.0,90.0,120.0005
74,Hg1Li1,161.478,221,3.342357,3.342357,3.342357,90.0,90.0,90.0
75,Al14Th4,354.864,55,5.5549990000000005,5.946502,11.62451,90.0,90.0,90.0
76,Al1Ru1,479.441,221,2.993855,2.993855,2.993855,90.0,90.0,90.0
77,Pt3V1,314.034,221,3.921308,3.921308,3.921308,90.0,90.0,90.0
78,Rh4Sb8,295.27,14,6.646756,6.712046,6.765363,62.87128,90.0,90.0
79,Rh4Si4,440.184,198,4.694379,4.694379,4.694379,90.0,90.0,90.0
80,Na2Pt4,284.1,227,5.334331,5.334331,5.334331,60.0,60.0,60.0
81,Ga2Y2,319.757,63,5.880067,5.880067,4.061185,90.0,90.0,136.4772
82,Cd3I6,94.597,156,4.310797,4.310797,21.706690000000002,90.00272,89.99728,120.0012
83,Ru8Sn12,305.921,116,6.214167,6.214167,10.03859,90.0,90.0,90.0
84,Li40Pb12,235.749,215,10.11805,10.11805,10.11805,90.0,90.0,90.0
85,Al4Ba1,343.158,139,6.539279,6.539279,6.539279,139.1081,139.1081,59.21003
86,B2Zr1,921.725,191,3.175974,3.175974,3.555869,90.0,90.0,119.9999
87,Al1Au2,165.275,139,5.05689,5.05689,5.05689,141.4598,141.4598,55.64339
88,As16Mg24,332.888,206,10.79307,10.79307,10.79307,109.4712,109.4712,109.4712
89,B2Hf1,710.983,191,3.144581,3.144349,3.491561,90.0,90.0,120.0024
90,Ba6Pb10,134.042,63,7.30674,7.30674,11.53668,90.0,90.0,101.8762
91,Ho6Tl10,136.035,63,6.463862,6.463862,10.52933,90.0,90.0,102.3006
92,P12Ru4,616.073,2,5.985612,8.141608,5.920127,70.24117,72.66806,68.60694
93,Os4Te8,325.445,205,6.477154,6.477154,6.477154,90.0,90.0,90.0
94,O4Os2,458.347,136,4.52619,4.52619,3.225164,90.0,90.0,90.0
95,Ca1Pd1,239.886,221,3.527989,3.527989,3.527989,90.0,90.0,90.0
96,Si4Zr2,565.333,63,7.635143,7.635143,3.680274,90.0,90.0,151.9181
97,S1Tb1,284.327,225,3.927045,3.927045,3.927045,60.0,60.0,60.0
98,Au4Bi2,153.823,227,5.697786,5.697786,5.697786,60.0,60.0,60.0
99,Pd6Si3,306.437,189,6.528613,6.528685,3.466083,90.0,90.0,119.9996
100,Co2Zr4,198.453,140,5.374422,5.374422,5.374422,107.83840000000001,107.83840000000001,112.7887
101,Pa2Sb4,224.66,129,4.339957,4.339957,8.739263,90.0,90.0,90.0
102,Te4Y2,209.347,129,4.454496,4.454496,8.903936,90.0,90.0,90.0
103,Rh3Th1,265.978,221,4.22433,4.22433,4.22433,90.0,90.0,90.0
104,Ce2O4,380.265,136,5.201308,5.201308,3.634463,90.0,90.0,90.0
105,Be6P4,829.091,224,5.081884,5.081884,5.081884,90.0,90.0,90.0
106,Os1Ti1,427.864,221,3.128025,3.128025,3.128025,90.0,90.0,90.0
107,Be26Hf2,940.085,226,7.042927,7.042927,7.042927,60.0,60.0,60.0
108,Mg2O2,583.934,186,3.324712,3.324484,5.100639,90.0,90.0,120.0023
109,Mo6Sb14,282.925,229,8.382279,8.382279,8.382279,109.4712,109.4712,109.4712
110,Ir3Ta1,417.602,221,3.905927,3.905927,3.905927,90.0,90.0,90.0
111,Al4O6,976.268,167,5.178493,5.178493,5.178493,55.30911,55.30911,55.30911
112,Au4Sb8,158.255,205,6.77619,6.77619,6.77619,90.0,90.0,90.0
113,Al1Os1,399.56,221,3.009884,3.009884,3.009884,90.0,90.0,90.0
114,Ba2Cd1,133.278,139,8.210153,8.210153,8.210153,149.5486,149.5486,43.60446
115,Au1In2,160.774,225,4.7044429999999995,4.7044429999999995,4.7044429999999995,60.0,60.0,60.0
116,He8Ne4,140.746,194,5.08542,5.085195,8.273961,90.0,90.0,120.0015
117,Ca1Ga2,304.767,191,4.31632,4.316585,4.296061,90.0,90.0,120.002
118,Nb6Os2,344.986,223,5.185045,5.185045,5.185045,90.0,90.0,90.0
119,F5U1,198.184,87,5.321422,5.321422,5.321422,100.5346,100.5346,129.3711
120,Mg1Tb1,223.12,221,3.795203,3.795203,3.795203,90.0,90.0,90.0
121,Ba2Te6,158.842,113,8.065343,8.065343,4.453309,90.0,90.0,90.0
122,C60Sr6,509.519,204,9.571935,9.571935,9.571935,109.4712,109.4712,109.4712
123,Al4Yb2,318.102,227,5.64387,5.64387,5.64387,60.0,60.0,60.0
124,La1Tl1,134.8,221,4.001183,4.001183,4.001183,90.0,90.0,90.0
125,Au4Ho8,145.664,62,4.955346,7.04793,8.901254,90.0,90.0,90.0
126,Be1Rh1,482.139,221,2.773381,2.773381,2.773381,90.0,90.0,90.0
127,B4N4,590.104,131,9.129397,9.129397,2.622877,90.0,90.0,90.0
